op[0][0][0]=Max([0][0][0]:0.000000	[0][1][0]:0.000000	[1][0][0]:0.000000	[1][1][0]:0.000000)=0.000000
op[0][0][1]=Max([0][0][1]:0.000000	[0][1][1]:0.000000	[1][0][1]:0.000000	[1][1][1]:0.000000)=0.000000
op[0][0][2]=Max([0][0][2]:0.000000	[0][1][2]:0.000000	[1][0][2]:0.000000	[1][1][2]:0.000000)=0.000000
op[0][0][3]=Max([0][0][3]:0.000000	[0][1][3]:0.000000	[1][0][3]:0.000000	[1][1][3]:0.000000)=0.000000
op[0][0][4]=Max([0][0][4]:0.000000	[0][1][4]:0.000000	[1][0][4]:0.000000	[1][1][4]:0.000000)=0.000000
op[0][0][5]=Max([0][0][5]:0.000000	[0][1][5]:0.000000	[1][0][5]:0.000000	[1][1][5]:0.000000)=0.000000
op[0][0][6]=Max([0][0][6]:0.068489	[0][1][6]:0.068489	[1][0][6]:0.068489	[1][1][6]:0.068489)=0.068489
op[0][0][7]=Max([0][0][7]:0.000000	[0][1][7]:0.000000	[1][0][7]:0.000000	[1][1][7]:0.000000)=0.000000
op[0][0][8]=Max([0][0][8]:0.000000	[0][1][8]:0.000000	[1][0][8]:0.000000	[1][1][8]:0.000000)=0.000000
op[0][0][9]=Max([0][0][9]:0.015651	[0][1][9]:0.015651	[1][0][9]:0.015651	[1][1][9]:0.015651)=0.015651
op[0][0][10]=Max([0][0][10]:0.000000	[0][1][10]:0.000000	[1][0][10]:0.000000	[1][1][10]:0.000000)=0.000000
op[0][0][11]=Max([0][0][11]:0.000000	[0][1][11]:0.000000	[1][0][11]:0.000000	[1][1][11]:0.000000)=0.000000
op[0][0][12]=Max([0][0][12]:0.000000	[0][1][12]:0.000000	[1][0][12]:0.000000	[1][1][12]:0.000000)=0.000000
op[0][0][13]=Max([0][0][13]:0.000000	[0][1][13]:0.000000	[1][0][13]:0.000000	[1][1][13]:0.000000)=0.000000
op[0][0][14]=Max([0][0][14]:0.000000	[0][1][14]:0.000000	[1][0][14]:0.000000	[1][1][14]:0.000000)=0.000000
op[0][0][15]=Max([0][0][15]:0.000000	[0][1][15]:0.000000	[1][0][15]:0.000000	[1][1][15]:0.000000)=0.000000
op[0][0][16]=Max([0][0][16]:0.040415	[0][1][16]:0.040415	[1][0][16]:0.040415	[1][1][16]:0.040415)=0.040415
op[0][0][17]=Max([0][0][17]:0.000000	[0][1][17]:0.000000	[1][0][17]:0.000000	[1][1][17]:0.000000)=0.000000
op[0][0][18]=Max([0][0][18]:0.000000	[0][1][18]:0.000000	[1][0][18]:0.000000	[1][1][18]:0.000000)=0.000000
op[0][0][19]=Max([0][0][19]:0.001898	[0][1][19]:0.001898	[1][0][19]:0.001898	[1][1][19]:0.001898)=0.001898
op[0][0][20]=Max([0][0][20]:0.000000	[0][1][20]:0.000000	[1][0][20]:0.000000	[1][1][20]:0.000000)=0.000000
op[0][0][21]=Max([0][0][21]:0.000000	[0][1][21]:0.000000	[1][0][21]:0.000000	[1][1][21]:0.000000)=0.000000
op[0][0][22]=Max([0][0][22]:0.000000	[0][1][22]:0.000000	[1][0][22]:0.000000	[1][1][22]:0.000000)=0.000000
op[0][0][23]=Max([0][0][23]:0.000000	[0][1][23]:0.000000	[1][0][23]:0.000000	[1][1][23]:0.000000)=0.000000
op[0][0][24]=Max([0][0][24]:0.000000	[0][1][24]:0.000000	[1][0][24]:0.000000	[1][1][24]:0.000000)=0.000000
op[0][0][25]=Max([0][0][25]:0.000000	[0][1][25]:0.000000	[1][0][25]:0.000000	[1][1][25]:0.000000)=0.000000
op[0][0][26]=Max([0][0][26]:0.000000	[0][1][26]:0.000000	[1][0][26]:0.000000	[1][1][26]:0.000000)=0.000000
op[0][0][27]=Max([0][0][27]:0.000000	[0][1][27]:0.000000	[1][0][27]:0.000000	[1][1][27]:0.000000)=0.000000
op[0][0][28]=Max([0][0][28]:0.000000	[0][1][28]:0.000000	[1][0][28]:0.000000	[1][1][28]:0.000000)=0.000000
op[0][0][29]=Max([0][0][29]:0.000000	[0][1][29]:0.000000	[1][0][29]:0.000000	[1][1][29]:0.000000)=0.000000
op[0][0][30]=Max([0][0][30]:0.000000	[0][1][30]:0.000000	[1][0][30]:0.000000	[1][1][30]:0.000000)=0.000000
op[0][0][31]=Max([0][0][31]:0.000000	[0][1][31]:0.000000	[1][0][31]:0.000000	[1][1][31]:0.000000)=0.000000
op[0][1][0]=Max([0][2][0]:0.000000	[0][3][0]:0.000000	[1][2][0]:0.000000	[1][3][0]:0.000000)=0.000000
op[0][1][1]=Max([0][2][1]:0.000000	[0][3][1]:0.000000	[1][2][1]:0.000000	[1][3][1]:0.000000)=0.000000
op[0][1][2]=Max([0][2][2]:0.000000	[0][3][2]:0.000000	[1][2][2]:0.000000	[1][3][2]:0.000000)=0.000000
op[0][1][3]=Max([0][2][3]:0.000000	[0][3][3]:0.000000	[1][2][3]:0.000000	[1][3][3]:0.000000)=0.000000
op[0][1][4]=Max([0][2][4]:0.000000	[0][3][4]:0.000000	[1][2][4]:0.000000	[1][3][4]:0.000000)=0.000000
op[0][1][5]=Max([0][2][5]:0.000000	[0][3][5]:0.000000	[1][2][5]:0.000000	[1][3][5]:0.000000)=0.000000
op[0][1][6]=Max([0][2][6]:0.068489	[0][3][6]:0.068489	[1][2][6]:0.068489	[1][3][6]:0.068489)=0.068489
op[0][1][7]=Max([0][2][7]:0.000000	[0][3][7]:0.000000	[1][2][7]:0.000000	[1][3][7]:0.000000)=0.000000
